Date,BAC,C
2011-05-05,12.300000190734863,44.79999923706055
2011-05-06,12.3100004196167,45.20000076293945
2011-05-09,12.18000030517578,44.15999984741211
2011-05-10,12.279999732971191,44.20000076293945
2011-05-11,12.25,42.91999816894531
2011-05-12,12.199999809265137,42.41999816894531
2011-05-13,11.93000030517578,41.529998779296875
2011-05-16,11.859999656677246,41.189998626708984
2011-05-17,11.899999618530272,41.540000915527344
2011-05-18,11.789999961853027,41.2400016784668
2011-05-19,11.6899995803833,41.380001068115234
2011-05-20,11.579999923706056,41.02000045776367
2011-05-23,11.420000076293944,40.15999984741211
2011-05-24,11.460000038146973,40.5099983215332
2011-05-25,11.380000114440918,40.33000183105469
2011-05-26,11.460000038146973,40.220001220703125
2011-05-27,11.6899995803833,40.970001220703125
2011-05-31,11.75,41.150001525878906
