Date,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
2014-06-27,22.9950008392334,0.4595000147819519,30.93000030517578,40.529998779296875,49.31999969482422,26.744712829589844,85.30000305175781,57.529998779296875,15.329999923706056,47.13999938964844,101.45999908447266,38.970001220703125,38.84000015258789,42.189998626708984,88.76000213623047,25.11333274841309,101.20999908447266,130.36000061035156,73.45494842529297,118.97317504882812,108.77999877929688,126.66412353515624,128.5399932861328,104.98999786376952,28.149904251098633,54.89503860473633,167.05999755859375,25.399999618530273,73.69999694824219,45.060001373291016
2014-06-30,23.232500076293945,0.4634999930858612,30.899999618530273,40.529998779296875,48.93000030517578,26.70694923400879,85.73999786376953,57.619998931884766,15.369999885559082,47.099998474121094,100.73999786376952,38.689998626708984,38.775001525878906,42.36000061035156,89.33999633789062,25.023332595825195,100.68000030517578,130.5500030517578,73.24146270751953,118.982421875,108.66999816894533,125.94525146484376,127.2300033569336,104.62000274658205,28.159393310546875,55.200382232666016,166.27999877929688,25.6200008392334,74.19000244140625,45.380001068115234
2014-07-01,23.3799991607666,0.46875,30.979999542236328,40.77000045776367,49.369998931884766,26.797582626342773,86.47000122070312,57.56999969482422,15.600000381469728,47.459999084472656,101.0,39.040000915527344,39.0,42.290000915527344,89.12999725341797,25.093332290649418,101.36000061035156,130.5399932861328,73.3553237915039,119.57447052001952,109.16999816894533,126.52034759521484,128.14999389648438,105.87000274658205,28.538898468017575,55.83015441894531,166.8800048828125,25.362499237060547,73.62999725341797,45.08000183105469
2014-07-02,23.3700008392334,0.4670000076293945,30.979999542236328,40.95000076293945,49.65999984741211,26.94108772277832,86.44000244140625,56.970001220703125,15.850000381469728,48.0099983215332,100.52999877929688,39.095001220703125,38.89500045776367,42.290000915527344,89.66999816894531,25.206666946411133,101.56999969482422,130.22999572753906,73.32685852050781,118.9916763305664,109.55999755859376,127.5267562866211,127.62000274658205,105.86000061035156,28.814041137695312,56.345420837402344,166.74000549316406,24.924999237060547,72.22000122070312,44.2599983215332
2014-07-03,23.50749969482422,0.4712499976158142,31.13999938964844,41.34000015258789,49.709999084472656,27.069486618041992,86.83999633789062,57.04999923706055,16.030000686645508,48.2400016784668,100.9800033569336,39.529998779296875,39.224998474121094,42.22999954223633,90.0199966430664,25.25,102.58999633789062,131.19000244140625,74.08119201660156,119.72248077392578,111.08000183105467,128.72486877441406,128.50999450683594,105.41999816894533,28.965843200683594,56.488548278808594,166.1300048828125,24.55500030517578,71.38999938964844,44.0099983215332
2014-07-07,23.99250030517578,0.4675000011920929,31.030000686645508,40.88999938964844,49.75,27.2054386138916,86.58999633789062,56.66999816894531,15.9399995803833,47.97999954223633,100.16999816894533,39.345001220703125,39.32500076293945,42.13999938964844,89.86000061035156,25.356666564941406,102.6500015258789,130.47000122070312,72.91410827636719,119.25069427490234,110.16000366210938,128.19769287109375,129.08999633789062,106.47000122070312,28.927894592285156,55.83969497680664,166.47999572753906,24.6200008392334,71.58000183105469,44.209999084472656
2014-07-08,23.837499618530273,0.4637500047683716,30.790000915527344,40.560001373291016,48.7599983215332,26.85800552368164,85.86000061035156,55.7599983215332,15.579999923706056,47.41999816894531,100.08999633789062,39.279998779296875,38.834999084472656,41.939998626708984,89.7300033569336,25.549999237060547,102.83000183105467,129.89999389648438,72.57252502441406,118.94541931152344,109.45999908447266,126.37657165527344,126.79000091552734,105.72000122070312,28.60531234741211,55.5057258605957,166.7100067138672,24.725000381469727,72.31999969482422,44.540000915527344
2014-07-09,23.84749984741211,0.4777500033378601,30.88999938964844,40.2599983215332,48.900001525878906,26.925981521606445,87.22000122070312,56.02000045776367,15.600000381469728,47.380001068115234,101.06999969482422,39.724998474121094,39.345001220703125,41.95000076293945,89.7699966430664,25.73666763305664,103.5500030517578,131.38999938964844,72.87141418457031,119.5929718017578,110.13999938964844,126.13695526123048,126.79000091552734,106.04000091552734,28.510435104370117,55.86832046508789,167.66000366210938,24.707500457763672,72.11000061035156,44.459999084472656
2014-07-10,23.760000228881836,0.4752500057220459,31.260000228881836,40.31999969482422,49.63999938964844,26.9637451171875,86.86000061035156,55.560001373291016,15.4399995803833,46.900001525878906,100.58000183105467,39.42499923706055,38.75,42.2599983215332,90.0999984741211,25.68666648864746,102.56999969482422,130.25,72.75755310058594,119.04718017578124,109.36000061035156,125.56185913085938,126.79000091552734,105.8000030517578,28.46299743652344,55.89694595336914,168.22000122070312,24.84749984741211,72.38999938964844,44.63999938964844
2014-07-11,23.80500030517578,0.4762499928474426,31.25,40.130001068115234,50.31999969482422,27.009063720703125,86.88999938964844,55.79999923706055,15.380000114440918,47.0,100.37000274658205,39.29999923706055,38.64500045776367,41.970001220703125,89.8499984741211,25.606666564941406,101.73999786376952,128.47000122070312,73.44071960449219,119.72248077392578,109.95999908447266,127.2392120361328,128.08999633789062,105.0999984741211,28.52941131591797,55.76335906982422,168.99000549316406,24.74250030517578,72.16000366210938,44.529998779296875
