Date,KO,DUK
2011-02-09,31.575000762939453,53.4900016784668
2011-02-10,31.770000457763672,53.58000183105469
2011-02-11,31.78499984741211,53.52000045776367
2011-02-14,31.56999969482422,53.06999969482422
2011-02-15,31.594999313354492,53.66999816894531
2011-02-16,31.700000762939453,53.099998474121094
2011-02-17,32.275001525878906,54.36000061035156
2011-02-18,32.275001525878906,53.81999969482422
2011-02-22,31.8799991607666,53.939998626708984
2011-02-23,31.954999923706055,53.70000076293945
2011-02-24,31.940000534057617,53.459999084472656
2011-02-25,32.154998779296875,53.61000061035156
2011-02-28,31.959999084472656,53.970001220703125
2011-03-01,32.45500183105469,53.63999938964844
2011-03-02,32.21500015258789,53.880001068115234
2011-03-03,32.78499984741211,54.2400016784668
2011-03-04,32.60499954223633,53.939998626708984
2011-03-07,32.61000061035156,54.41999816894531
2011-03-08,32.81999969482422,54.720001220703125
2011-03-09,32.810001373291016,55.31999969482422
2011-03-10,32.64500045776367,54.959999084472656
2011-03-11,32.404998779296875,55.290000915527344
2011-03-14,31.969999313354492,54.540000915527344
2011-03-15,31.51499938964844,53.70000076293945
2011-03-16,30.799999237060547,52.95000076293945
2011-03-17,31.13999938964844,52.79999923706055
2011-03-18,31.350000381469727,52.88999938964844
2011-03-21,31.78499984741211,53.15999984741211
2011-03-22,31.7549991607666,53.279998779296875
2011-03-23,32.1349983215332,53.459999084472656
2011-03-24,32.345001220703125,53.61000061035156
2011-03-25,32.61000061035156,53.459999084472656
2011-03-28,32.51499938964844,53.58000183105469
2011-03-29,32.86000061035156,54.150001525878906
2011-03-30,33.02000045776367,54.5099983215332
2011-03-31,33.16999816894531,54.45000076293945
2011-04-01,33.61000061035156,55.2599983215332
2011-04-04,33.83000183105469,55.13999938964844
2011-04-05,33.73500061035156,55.22999954223633
2011-04-06,33.814998626708984,55.68000030517578
2011-04-07,33.720001220703125,55.13999938964844
2011-04-08,33.6349983215332,55.22999954223633
2011-04-11,33.70000076293945,54.47999954223633
2011-04-12,33.45000076293945,53.970001220703125
2011-04-13,33.63999938964844,54.2400016784668
2011-04-14,34.154998779296875,54.630001068115234
2011-04-15,34.005001068115234,55.11000061035156
2011-04-18,33.654998779296875,54.630001068115234
2011-04-19,33.54499816894531,54.65999984741211
2011-04-20,33.92499923706055,55.31999969482422
2011-04-21,33.939998626708984,55.349998474121094
2011-04-25,33.869998931884766,55.290000915527344
2011-04-26,33.46500015258789,55.470001220703125
