Date,JPM,BAC
2011-09-29,31.38999938964844,6.349999904632568
2011-09-30,30.1200008392334,6.119999885559082
2011-10-03,28.649999618530273,5.53000020980835
2011-10-04,30.260000228881836,5.760000228881836
2011-10-05,30.84000015258789,5.769999980926514
2011-10-06,32.380001068115234,6.28000020980835
2011-10-07,30.700000762939453,5.900000095367432
2011-10-10,32.29999923706055,6.28000020980835
2011-10-11,32.29999923706055,6.369999885559082
2011-10-12,33.20000076293945,6.579999923706055
2011-10-13,31.600000381469727,6.21999979019165
2011-10-14,31.88999938964844,6.190000057220459
2011-10-17,31.040000915527344,6.03000020980835
2011-10-18,32.869998931884766,6.639999866485596
2011-10-19,32.25,6.400000095367432
2011-10-20,33.130001068115234,6.46999979019165
2011-10-21,33.41999816894531,6.460000038146973
2011-10-24,34.56999969482422,6.71999979019165
2011-10-25,33.4900016784668,6.460000038146973
2011-10-26,34.18000030517578,6.590000152587891
2011-10-27,37.02000045776367,7.21999979019165
2011-10-28,36.689998626708984,7.349999904632568
2011-10-31,34.7599983215332,6.829999923706055
2011-11-01,32.709999084472656,6.400000095367432
2011-11-02,33.63999938964844,6.71999979019165
2011-11-03,34.380001068115234,6.909999847412109
2011-11-04,33.970001220703125,6.489999771118164
2011-11-07,34.2400016784668,6.449999809265137
2011-11-08,35.02000045776367,6.53000020980835
2011-11-09,32.540000915527344,6.159999847412109
2011-11-10,32.7400016784668,6.03000020980835
2011-11-11,33.279998779296875,6.210000038146973
2011-11-14,32.54999923706055,6.050000190734863
2011-11-15,32.70000076293945,6.130000114440918
2011-11-16,31.469999313354492,5.900000095367432
2011-11-17,30.489999771118164,5.800000190734863
2011-11-18,30.6200008392334,5.78000020980835
2011-11-21,29.90999984741211,5.489999771118164
2011-11-22,29.40999984741211,5.369999885559082
2011-11-23,28.3799991607666,5.139999866485596
2011-11-25,28.479999542236328,5.170000076293945
2011-11-28,29.15999984741211,5.25
2011-11-29,28.559999465942383,5.079999923706055
2011-11-30,30.969999313354492,5.440000057220459
2011-12-01,30.459999084472656,5.53000020980835
2011-12-02,32.33000183105469,5.639999866485596
2011-12-05,33.5099983215332,5.789999961853027
2011-12-06,33.22999954223633,5.78000020980835
2011-12-07,34.0,5.889999866485596
2011-12-08,32.220001220703125,5.590000152587891
