Date,BAC,C,beta_t_est,spread_t
2011-02-09,14.640000343322754,48.400001525878906,0.25248324881499534,0.03813673875858825
2011-02-10,14.489999771118164,47.79999923706055,0.252695158202662,0.009778798464118665
2011-02-11,14.770000457763672,48.79999923706055,0.2536948048557295,0.008817885702438133
2011-02-14,14.890000343322754,49.099998474121094,0.2548658097865898,0.012563800323301066
2011-02-15,14.770000457763672,49.099998474121094,0.25302993509699273,-0.025742747306102487
2011-02-16,14.84000015258789,49.0,0.25404168670477917,0.016722931109198313
2011-02-17,14.8100004196167,49.400001525878906,0.25169178547560833,-0.02721607950081939
2011-02-18,14.75,49.099998474121094,0.2515429350742087,-0.0028093184565598506
2011-02-22,14.18000030517578,46.900001525878906,0.2518341645014726,-0.00465193174232148
2011-02-23,14.170000076293944,47.0,0.2514570774489576,-0.010039224593239027
