,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
GE,-0.03805507195078767,0.16524862297281814,0.04418591605229073,0.18232101694906688,0.24547812724730655,0.5035498478102495,0.3243354929018639,0.2574631594927729,0.2091347311866941,0.25388305538340294,0.0752962980593538,0.20513713482238072,0.10707222461175563,0.11511894221116394,0.2757442406341594,0.04549580372068896,0.5333083281236418,0.36164421701707206,0.370131369703228,0.15701756537276368,0.08279161407853379,1.000000000000095,0.17551424963786844,0.2472058658509413,0.17581060354354877,0.18227901629854362,0.1654050666033034,0.053598266497394145,0.004533730633196307,0.029966655445511487
INTC,0.3564795345232681,0.4122371168618328,0.9999999999998801,0.11898770017669343,0.1479487070968078,0.0546193347697376,0.1447270984816453,0.2833717997423696,0.2740555273123331,0.1535456311499124,0.09278464142006382,0.18659091795503094,0.33921351726032756,0.14922972037340168,0.2094628241971729,0.19466599278466704,0.22327983729317452,0.38328438521229485,0.3448648884224114,0.4241665462057167,0.3632135726825034,0.04418591605229073,0.35315515986812673,0.22080948203878456,0.08508198991892092,0.22734201506725277,0.22726611228742954,0.289393183407998,0.1924219003353181,0.26270980092229007
JNJ,0.17802099318898781,0.26308989848766,0.22080948203878456,0.4624029641942706,0.4254326802944262,0.2900057664688584,0.2985813145786113,0.30381799569558976,0.26727908864550987,0.2940426112689037,0.34182520320328347,0.1338060741983419,0.15513179857114368,0.5688390057798689,0.6896484933005403,0.5388074490039841,0.41626375163825463,0.3851149159582139,0.4088736419925366,0.3793468582997376,0.23943128863386468,0.2472058658509413,0.25950628385171237,0.9999999999994803,0.41216732748717627,0.4876847090920379,0.33645571780511635,0.5945692121054077,0.5119158298819588,0.31129902465937015
JPM,0.402920215601397,0.507354378301574,0.2833717997423696,0.3664121965488666,0.04699894781216218,0.06848650854742303,0.563056042024447,0.9999999999998979,0.8700608859069373,0.8180122444082638,0.0903305216598043,0.23180272690387504,0.3770498828969284,0.0038428713099146455,0.2879746493606058,0.18140350056308302,0.18996127456733955,0.34885012611540306,0.5898849387840813,0.582432773239137,0.4492019882785519,0.2574631594927729,0.5867603022523743,0.30381799569558976,0.42824843686017144,0.24881237180737967,-0.04045378486781039,0.2560773903619886,-0.12484557154170806,-0.2791503833815694
KO,0.09262904045962664,-0.01268287710780166,0.14922972037340168,0.25262173922029896,0.4902054474213109,0.32213302830236584,0.21788919641600601,0.0038428713099146455,-0.06207254713399916,0.027791787339661016,0.4645893720348262,0.22650221774495805,0.21003963624894717,0.9999999999998156,0.6415106880537336,0.5184060701496666,0.21807660448197944,0.2085786775441592,0.06925606621922961,0.09461998523584711,-0.07886796967973103,0.11511894221116394,0.04659175886149397,0.5688390057798689,0.22195732645972596,0.2877710611590998,0.4484015558662098,0.5110134448958048,0.6016262721510921,0.5477359356386424
MCD,-0.01968252486807615,0.19071852584570193,0.09278464142006382,0.1999638014301778,0.26039729017917773,0.11647736877553296,0.15917708529615007,0.0903305216598043,-0.06261207076360975,0.051708695345777315,0.999999999999991,0.37505128967991097,0.299922497628866,0.4645893720348262,0.30449754705397636,0.2816896419051009,0.10414094653261526,0.265468884547811,0.19565733789380793,0.2274837985127729,0.13179012420345976,0.0752962980593538,0.23311622240709573,0.34182520320328347,0.16752856888730536,0.06203991307955211,0.1548006022938686,0.3414873877515019,0.30873799093985244,0.26822530132993305
MRK,0.277203176489777,0.1268107419673274,0.22734201506725277,0.3889311456815504,0.3097392400839548,0.20805324076442128,0.47075944290426264,0.24881237180737967,0.2006889297119196,0.11396659434950683,0.06203991307955211,0.08632524525916677,0.08595817289335968,0.2877710611590998,0.4663681987315676,0.42015133767994767,0.2940306052656744,0.2771721937129884,0.18461342132205683,0.33228966863682113,0.13249148539284308,0.18227901629854362,0.2884469770479573,0.4876847090920379,0.4128054096126032,1.0000000000004672,0.3123460065185011,0.5275434184166424,0.3877295094945937,0.26064781726730046
NEE,0.30090262207397467,0.31155023853610736,0.289393183407998,0.40479968033693975,0.40892639865807556,0.15217859397006794,0.3775031935516115,0.2560773903619886,0.19477645409605657,0.06125054393735146,0.3414873877515019,0.22574382174247892,0.3543382794091352,0.5110134448958048,0.6265233179100634,0.5875270716286922,0.1929275760008221,0.25565032069143795,0.1594655773863373,0.4294330262145986,0.09452093226613523,0.053598266497394145,0.3693592348281087,0.5945692121054077,0.5082638590464618,0.5275434184166424,0.4289017400146106,1.000000000000145,0.6546104468138646,0.4862036209210721
NKE,0.3221693174125383,0.26882544921857887,0.33921351726032756,0.11747378988351335,0.10750459373691203,-0.11335463234924871,0.4506234306417591,0.3770498828969284,0.33316801252999384,0.25446591152254183,0.299922497628866,0.5634938670433768,0.9999999999998784,0.21003963624894717,0.2683979712606052,0.14352502304077164,-0.06466287854220314,-0.01806602841835562,0.17503740075160837,0.31747945131223304,-0.01687979696133602,0.10707222461175563,0.43963445763699915,0.15513179857114368,0.3316658749652578,0.08595817289335968,0.27441870502806454,0.3543382794091352,0.1664185251067574,0.05256487234625146
NVDA,0.36200929486061,1.0000000000000013,0.4122371168618328,0.3041566615242702,-0.0714690614318464,-0.021513807216823257,0.23828969957995683,0.507354378301574,0.40419151889326455,0.3507297618983793,0.19071852584570193,0.03788235506995268,0.26882544921857887,-0.01268287710780166,0.2547819859689592,0.11346643552991241,0.12389455138613344,0.26440272775690615,0.5200817471430736,0.5420147276239368,0.37197531215147905,0.16524862297281814,0.4558955225886218,0.26308989848766,0.16736723480729832,0.1268107419673274,0.031696738735857585,0.31155023853610736,-0.05537952429170106,-0.08675760673039783
ORCL,0.28258598144064856,0.3041566615242702,0.11898770017669343,0.9999999999998743,0.1367392458021224,0.13103623406237155,0.38183295443896,0.3664121965488666,0.31584894977459316,0.3356871352572986,0.1999638014301778,0.06290572617614835,0.11747378988351335,0.25262173922029896,0.4346065633511807,0.3998071840678765,0.2686058288257054,0.27141556808694284,0.37751147633501647,0.5356239473444542,0.40652923202357205,0.18232101694906688,0.37325299553357527,0.4624029641942706,0.3433997322687854,0.3889311456815504,0.1746051170124239,0.40479968033693975,0.3156710998290098,0.09564397942281617
PEP,0.18471558255941578,0.2547819859689592,0.2094628241971729,0.4346065633511807,0.40558641911156307,0.37316560146788486,0.497456157192814,0.2879746493606058,0.2211113111606654,0.2911924525290919,0.30449754705397636,0.2872153272656464,0.2683979712606052,0.6415106880537336,1.0000000000001614,0.534035725159005,0.20273071617940086,0.23483526497048082,0.26877903148004306,0.3680018413538458,0.023184128359768835,0.2757442406341594,0.2898591999200597,0.6896484933005403,0.35958793157562835,0.4663681987315676,0.3924966973105712,0.6265233179100634,0.5426534219264618,0.4117862090278214
PFE,0.2573354583818672,0.16736723480729832,0.08508198991892092,0.3433997322687854,0.3820450014128317,0.08217724922209846,0.4591308649319903,0.42824843686017144,0.3351230344015689,0.2980511346321801,0.16752856888730536,0.21156770847005893,0.3316658749652578,0.22195732645972596,0.35958793157562835,0.4774305252395368,0.2678723365767584,0.1877771354113025,0.22447368805564188,0.34789762595473483,0.06802086852802358,0.17581060354354877,0.5170252489661359,0.41216732748717627,0.9999999999997854,0.4128054096126032,0.4008103945544989,0.5082638590464618,0.3190536221925972,0.06639924755641782
SBUX,0.18731424464270388,0.03788235506995268,0.18659091795503094,0.06290572617614835,0.11478040112727211,-0.011357345199395652,0.44716961303262726,0.23180272690387504,0.157673718637899,0.20245080153343087,0.37505128967991097,1.0000000000000928,0.5634938670433768,0.22650221774495805,0.2872153272656464,0.1462728271180881,-0.10202214887270455,-0.01312167702906154,0.09939476908248834,0.29171545281596806,-0.12287529322225264,0.20513713482238072,0.31071949441060887,0.1338060741983419,0.21156770847005893,0.08632524525916677,0.11422584043392589,0.22574382174247892,0.14686360545128013,0.04049301965172752
SO,-0.017504365194575273,-0.08675760673039783,0.26270980092229007,0.09564397942281617,0.32098893060351985,0.3052039794290722,-0.017406815899320124,-0.2791503833815694,-0.29139089667173645,-0.3032339377784643,0.26822530132993305,0.04049301965172752,0.05256487234625146,0.5477359356386424,0.4117862090278214,0.4015571887640545,0.15878122086672652,0.09161677120785428,-0.17199019657916922,-0.015826905514655557,-0.1432939943665838,0.029966655445511487,-0.20521155447400852,0.31129902465937015,0.06639924755641782,0.26064781726730046,0.518106964707192,0.4862036209210721,0.7624541750989194,0.999999999999661
SPG,0.09410538000619556,0.031696738735857585,0.22726611228742954,0.1746051170124239,0.48935108822839024,0.25760429397526363,0.2837114361051109,-0.04045378486781039,-0.11859435428215119,-0.15921882207242063,0.1548006022938686,0.11422584043392589,0.27441870502806454,0.4484015558662098,0.3924966973105712,0.30567064689839485,0.3513908034967905,0.17257867975987168,-0.01437894393776535,0.10603600188484916,-0.0895525742233709,0.1654050666033034,0.04668340954558678,0.33645571780511635,0.4008103945544989,0.3123460065185011,1.0000000000001097,0.4289017400146106,0.47023338302374795,0.518106964707192
T,-0.04436205171268127,-0.021513807216823257,0.0546193347697376,0.13103623406237155,0.5235421314585013,1.0000000000000673,0.1878445231347913,0.06848650854742303,-0.0002927956614743664,0.051804799575034075,0.11647736877553296,-0.011357345199395652,-0.11335463234924871,0.32213302830236584,0.37316560146788486,0.26128829611515875,0.39565956951923575,0.39210612371923387,0.18990215014265646,0.030382706366724393,0.142055184426406,0.5035498478102495,-0.07763753835312992,0.2900057664688584,0.08217724922209846,0.20805324076442128,0.25760429397526363,0.15217859397006794,0.21263138444170213,0.3052039794290722
VZ,0.020657915095944192,-0.0714690614318464,0.1479487070968078,0.1367392458021224,1.000000000000107,0.5235421314585013,0.2602889881917195,0.04699894781216218,-0.07720853538577586,0.0004152644382579757,0.26039729017917773,0.11478040112727211,0.10750459373691203,0.4902054474213109,0.40558641911156307,0.4945055212146226,0.4330665516925404,0.4585434957975102,0.06795554334887112,0.17187868315420352,-0.017455245874684083,0.24547812724730655,0.10093196695234878,0.4254326802944262,0.3820450014128317,0.3097392400839548,0.48935108822839024,0.40892639865807556,0.4137498270993487,0.32098893060351985
WMT,0.2800261024935933,0.11346643552991241,0.19466599278466704,0.3998071840678765,0.4945055212146226,0.26128829611515875,0.27703947474399293,0.18140350056308302,0.14258735492745925,0.21448832574488957,0.2816896419051009,0.1462728271180881,0.14352502304077164,0.5184060701496666,0.534035725159005,0.9999999999997244,0.2947118958610685,0.304339918024987,0.038075511429273956,0.34516661589615344,0.09157533951501244,0.04549580372068896,0.2972473783840633,0.5388074490039841,0.4774305252395368,0.42015133767994767,0.30567064689839485,0.5875270716286922,0.5774666139004371,0.4015571887640545
XOM,0.05511585062822482,0.12389455138613344,0.22327983729317452,0.2686058288257054,0.4330665516925404,0.39565956951923575,0.2103459115455936,0.18996127456733955,0.13492109106668193,0.13843240680858118,0.10414094653261526,-0.10202214887270455,-0.06466287854220314,0.21807660448197944,0.20273071617940086,0.2947118958610685,0.9999999999999245,0.6811454556349631,0.3667540405031211,0.28040819773701026,0.39319996332419804,0.5333083281236418,0.15618966786463878,0.41626375163825463,0.2678723365767584,0.2940306052656744,0.3513908034967905,0.1929275760008221,0.13520928376737038,0.15878122086672652
