Price,Date,AAPL,NVDA,INTC,ORCL,VZ,T,DIS,JPM,BAC,C,MCD,SBUX,NKE,KO,PEP,WMT,XOM,CVX,DD,APD,CAT,GE,BA,JNJ,PFE,MRK,SPG,NEE,DUK,SO
1633,2017-04-28,35.912498474121094,2.6075000762939453,36.150001525878906,44.959999084472656,45.90999984741211,29.932024002075195,115.5999984741211,87.0,23.34000015258789,59.119998931884766,139.92999267578125,60.060001373291016,55.40999984741211,43.150001525878906,113.27999877929688,25.059999465942383,81.6500015258789,106.69999694824219,89.38134002685547,140.5,102.26000213623047,138.93275451660156,184.8300018310547,123.47000122070312,32.18216323852539,59.475189208984375,165.25999450683594,33.38999938964844,82.5,49.79999923706055
1634,2017-05-01,36.64500045776367,2.6659998893737793,36.310001373291016,45.04999923706055,45.880001068115234,29.531721115112305,114.7300033569336,87.05999755859375,23.610000610351562,59.459999084472656,141.14999389648438,60.18000030517578,54.9900016784668,43.220001220703125,112.27999877929688,25.07666778564453,82.05999755859375,105.91999816894531,88.98282623291016,142.02999877929688,102.0,138.69313049316406,182.38999938964844,123.33999633789062,32.04933547973633,59.52289962768555,168.61000061035156,33.2599983215332,82.06999969482422,49.59000015258789
1635,2017-05-02,36.877498626708984,2.5869998931884766,36.970001220703125,45.130001068115234,45.90999984741211,29.418428421020508,114.37000274658203,86.5,23.530000686645508,59.709999084472656,141.22999572753906,60.5,55.06999969482422,43.38999938964844,112.29000091552734,25.17333221435547,82.05000305175781,105.36000061035156,88.98282623291016,143.52000427246094,101.51000213623047,138.93275451660156,183.44000244140625,123.69999694824219,31.888046264648438,59.828243255615234,168.7899932861328,33.505001068115234,82.38999938964844,49.5099983215332
1636,2017-05-03,36.76499938964844,2.606250047683716,36.97999954223633,44.88999938964844,46.150001525878906,29.003021240234375,111.62000274658203,87.0,23.770000457763672,60.2400016784668,142.6199951171875,60.59000015258789,54.529998779296875,43.31999969482422,111.79000091552734,25.253332138061523,82.69999694824219,106.72000122070312,87.8299789428711,143.82000732421875,101.54000091552734,140.08294677734375,183.38999938964844,123.33000183105469,31.755218505859375,60.71564865112305,165.58999633789062,33.34000015258789,82.04000091552734,49.470001220703125
1637,2017-05-04,36.63249969482422,2.596250057220459,36.849998474121094,45.470001220703125,45.880001068115234,28.708459854125977,111.16999816894531,87.0999984741211,23.850000381469727,60.209999084472656,143.4499969482422,60.83000183105469,54.470001220703125,43.65999984741211,112.95999908447266,25.446666717529297,81.63999938964844,104.80999755859375,87.41722869873047,144.75999450683594,99.38999938964844,139.93917846679688,183.07000732421875,123.94999694824219,31.736242294311523,60.47710037231445,165.4199981689453,33.584999084472656,82.58999633789062,49.790000915527344
1638,2017-05-05,37.2400016784668,2.5964999198913574,36.81999969482422,45.58000183105469,46.689998626708984,29.12386703491211,111.98999786376953,87.0,23.739999771118164,60.2400016784668,143.9600067138672,60.95000076293945,53.95000076293945,43.689998626708984,113.22000122070312,25.5,82.0199966430664,105.79000091552734,89.7940902709961,147.22000122070312,99.63999938964844,140.03501892089844,185.00999450683594,123.51000213623047,31.764705657958984,61.040077209472656,164.52000427246094,33.58250045776367,82.9800033569336,50.06999969482422
1639,2017-05-08,38.252498626708984,2.5692501068115234,36.540000915527344,45.560001373291016,46.630001068115234,29.131420135498047,111.41999816894531,87.0999984741211,23.959999084472656,60.5,144.24000549316406,60.939998626708984,54.29999923706055,43.88999938964844,113.22000122070312,25.373332977294922,82.88999938964844,106.68000030517578,88.76933288574219,146.19000244140625,99.37000274658203,139.316162109375,186.02000427246094,123.25,31.736242294311523,61.078243255615234,162.83999633789062,33.73749923706055,82.91999816894531,50.029998779296875
1640,2017-05-09,38.497501373291016,2.573499917984009,36.369998931884766,45.47999954223633,46.41999816894531,28.867069244384766,112.06999969482422,86.75,23.979999542236328,60.22999954223633,144.36000061035156,60.97999954223633,54.88999938964844,43.5099983215332,112.72000122070312,25.573333740234375,82.30999755859375,105.08000183105469,88.00077056884766,145.3000030517578,99.29000091552734,138.6452178955078,186.91000366210938,123.20999908447266,31.669828414916992,60.39122009277344,162.4600067138672,33.442501068115234,82.11000061035156,49.97999954223633
1641,2017-05-10,38.314998626708984,3.032249927520752,36.0099983215332,45.529998779296875,46.380001068115234,29.04078483581543,109.66000366210938,87.43000030517578,24.149999618530273,60.369998931884766,144.52000427246094,60.65999984741211,54.560001373291016,43.56999969482422,112.83999633789062,25.566667556762695,81.91000366210938,106.5,87.8299789428711,145.25,100.36000061035156,137.54295349121094,183.17999267578125,122.80999755859375,31.33776092529297,61.011451721191406,165.64999389648438,33.54249954223633,82.4800033569336,49.869998931884766
1642,2017-05-11,38.48749923706055,3.1624999046325684,35.689998626708984,45.15999984741211,46.02000045776367,29.033233642578125,109.58000183105469,87.16000366210938,24.06999969482422,60.70000076293945,144.2100067138672,60.27000045776367,54.2400016784668,43.66999816894531,113.04000091552734,25.376667022705078,82.61000061035156,106.20999908447266,88.04346466064453,143.86000061035156,100.98999786376953,138.357666015625,183.94000244140625,123.19999694824219,31.347248077392578,61.479007720947266,161.77999877929688,33.65999984741211,83.0,49.77000045776367
1643,2017-05-12,39.025001525878906,3.1972498893737793,35.529998779296875,45.08000183105469,45.84000015258789,29.07099723815918,109.69000244140625,86.91999816894531,24.0,61.06999969482422,145.36000061035156,59.93000030517578,54.20000076293945,43.59000015258789,112.91000366210938,25.23666763305664,82.55000305175781,105.95999908447266,88.29965209960938,144.07000732421875,100.70999908447266,135.48220825195312,183.25,123.63999938964844,31.31878662109375,60.65839767456055,157.47999572753906,33.88750076293945,83.4800033569336,49.869998931884766
1644,2017-05-15,38.92499923706055,3.3577499389648438,35.630001068115234,45.31999969482422,45.380001068115234,29.146526336669922,109.12999725341797,87.33999633789062,24.059999465942383,61.41999816894531,146.27999877929688,60.45000076293945,53.77000045776367,43.72999954223633,113.94000244140625,25.43000030517578,82.80000305175781,106.8499984741211,88.8120346069336,145.0800018310547,102.41999816894531,135.05088806152344,182.38999938964844,126.98999786376953,31.42314910888672,60.60114669799805,156.16000366210938,34.032501220703125,83.58000183105469,49.97999954223633
1645,2017-05-16,38.86750030517578,3.4202499389648438,35.81999969482422,45.290000915527344,45.310001373291016,28.844411849975586,107.9800033569336,87.61000061035156,23.989999771118164,62.4900016784668,147.2899932861328,59.97999954223633,52.779998779296875,43.849998474121094,113.79000091552734,25.036666870117188,82.55000305175781,107.25,88.66970825195312,144.35000610351562,102.33999633789062,134.37994384765625,182.6999969482422,127.7699966430664,30.929790496826172,60.86832046508789,154.1300048828125,33.974998474121094,83.12000274658203,49.34000015258789
