Date,BAC,C,spread_t,beta_t_est,signal_t,theta_t,E·P_t,z_t
2017-10-10,25.93000030517578,75.18000030517578,0.015238462995341706,0.3328840232481095,1,1.8,-8.981641265685797,-2.459921370842394
2017-10-11,25.829999923706055,74.94000244140625,-0.0006512633500790344,0.3328278819155588,1,1.8,-8.959896347167685,-2.3986697935223225
2017-10-12,25.450000762939453,72.37000274658203,0.06731599864257021,0.3383021457746326,1,1.8,-8.449189202904089,-1.8473604047531325
2017-10-13,25.829999923706055,72.11000061035156,0.07589180935439899,0.3446288623295435,0,1.8,-8.229227568601544,-1.604529983610003
2017-10-16,26.239999771118164,71.7699966430664,0.08612486245630535,0.35179641129952366,0,1.8,-7.976544496992538,-1.3335840974131665
2017-10-17,26.200000762939453,72.19000244140625,-0.014355100388826258,0.3505829336451248,0,1.8,-8.101071672886413,-1.4478642917502864
2017-10-18,26.479999542236328,73.12000274658203,-0.008354539126258942,0.349863901555146,0,1.8,-8.228572151971669,-1.56278090040293
2017-10-19,26.579999923706055,72.87999725341797,0.024498107920539525,0.351934760579681,0,1.8,-8.126386597134713,-1.4458058570916976
2017-10-20,27.170000076293945,73.52999877929688,0.05295762786566627,0.35648966690829376,0,1.8,-8.056915111045798,-1.3635667606031374
2017-10-23,27.15999984741211,73.52999877929688,0.0059085555492330855,0.3569938925453822,0,1.8,-8.060937121083336,-1.3557904630838054
2017-10-24,27.68000030517578,74.23999786376953,0.036855433504797475,0.36018990029372605,0,1.8,-8.03510950862857,-1.3184618142543099
2017-10-25,27.6299991607666,73.62000274658203,0.02890338818307825,0.3626384726867773,0,1.8,-7.895145077584022,-1.1685244462935156
2017-10-26,27.739999771118164,73.79000091552734,0.010565038551714423,0.36354301735619127,0,1.8,-7.894794997221984,-1.1588745653799442
2017-10-27,27.799999237060547,73.87000274658203,0.0056644738214188806,0.36402824294879244,0,1.8,-7.8913191113105885,-1.1461956251480216
2017-10-30,27.600000381469727,73.77999877929688,-0.02211525973741857,0.3621399373568208,0,1.8,-7.948519185156316,-1.1935326658976861
2017-10-31,27.38999938964844,73.5,-0.018005391484887667,0.3606113267568649,0,1.8,-7.960687906334217,-1.1958452755861526
2017-11-01,27.530000686645508,74.02999877929688,-0.009396958543177902,0.3598005909455592,0,1.8,-8.041219158423855,-1.265235032436955
2017-11-02,27.8700008392334,74.73999786376953,0.010061869608307461,0.3606779828830874,0,1.8,-8.087786192404817,-1.300344040959389
2017-11-03,27.81999969482422,74.05000305175781,0.028484019154205953,0.3630999079305803,0,1.8,-7.929748772517657,-1.1346478083541849
2017-11-06,27.75,73.80000305175781,0.006742886094556866,0.3636739674026495,0,1.8,-7.893355405535692,-1.0898922526874582
2017-11-07,27.18000030517578,72.70999908447266,-0.02341212086823319,0.3617252301583028,0,1.8,-7.841180101791389,-1.0301468934403712
2017-11-08,26.790000915527344,72.33999633789062,-0.03945828215301361,0.35842547356356536,0,1.8,-7.902504876739943,-1.0821359770845322
2017-11-09,26.489999771118164,72.43000030517578,-0.05229514661093759,0.3540154417264015,0,1.8,-8.046400702051239,-1.2141343717165094
2017-11-10,26.510000228881836,72.25,0.004441431475548541,0.3543881685104404,0,1.8,-7.991883000694019,-1.1513467020484223
2017-11-13,26.399999618530273,71.98999786376953,-0.0019069386084993312,0.35422880766027975,0,1.8,-7.968995255510958,-1.11981264167668
2017-11-14,26.239999771118164,71.52999877929688,0.0001490571211917313,0.35424116555123497,0,1.8,-7.914580245219028,-1.0579827399721773
2017-11-15,26.790000915527344,71.7300033569336,0.06839899217005296,0.3599766867179149,0,1.8,-7.745012813858949,-0.8849721489178339
2017-11-16,26.760000228881836,71.66999816894531,0.00857928051522805,0.36069366267767916,0,1.8,-7.74158630367215,-0.8749086008341321
2017-11-17,26.6200008392334,71.33000183105469,-0.0012663030950648135,0.36058867787146465,0,1.8,-7.710110384095923,-0.8377878578141782
