Date,JPM,BAC,spread_t,beta_t_est,signal_t,theta_t,E·P_t,z_t
2010-12-16,40.0099983215332,12.520000457763672,-0.6716249393743468,2.327841101496734,0,1.8,-1.0626112242698298,
2010-12-17,39.66999816894531,12.56999969482422,-0.7535505008445185,2.266796893386727,0,1.8,-1.1731081459807982,
2010-12-20,39.95000076293945,12.619999885559082,-0.39171175773588374,2.2357866071861863,0,1.8,-1.1517936240227886,
2010-12-21,41.0,12.979999542236328,-0.09326027256646796,2.2214090982749672,0,1.8,-1.203702845865692,
2010-12-22,42.15999984741211,13.380000114440918,0.10737842805537667,2.2433112823818027,0,1.8,-1.2627976690201628,
2010-12-23,42.08000183105469,13.0600004196167,0.49306185951406434,2.277666158428602,0,1.8,-1.0352377604895917,
2010-12-27,42.66999816894531,13.270000457763672,0.3917068181051633,2.3177846767860095,0,1.8,-1.0703024911309136,
2010-12-28,42.61000061035156,13.34000015258789,0.10993513096394736,2.3280772158336513,0,1.8,-1.1365568761890152,
2010-12-29,42.36000061035156,13.3100004196167,-0.04601875933989419,2.3249382829327354,0,1.8,-1.1667786956134751,
2010-12-30,42.22999954223633,13.279999732971191,-0.06993624261571085,2.3212872575499186,0,1.8,-1.1714880928728064,
2010-12-31,42.41999816894531,13.34000015258789,-0.01259501307045241,2.320541670988196,0,1.8,-1.1769512691610444,
2011-01-03,43.58000183105469,14.1899995803833,-0.4713446496991338,2.2192892912992552,0,1.8,-1.5799676883415898,
2011-01-04,44.15999984741211,14.239999771118164,-0.0014050343984166602,2.219085261068812,0,1.8,-1.4948743386429282,
2011-01-05,44.70000076293945,14.5,-0.023117185262890416,2.2157887652951613,0,1.8,-1.578781906642643,
2011-01-06,44.47999954223633,14.4399995803833,-0.06897778688617251,2.2094536067616684,0,1.8,-1.5796972619301588,
2011-01-07,43.63999938964844,14.25,-0.31336194713686893,2.195165449496195,0,1.8,-1.6130690054524628,
