Date,KO,PEP,alpha,beta,y_pred,spread
2018-01-02,45.540000915527344,118.05999755859376,14.026029242852653,0.26670479399578695,45.513196570860515,0.026804344666828683
2018-01-03,45.439998626708984,117.75,14.026333542405807,0.26672701742524224,45.43343984422808,0.0065587824809014705
2018-01-04,46.08000183105469,118.33000183105467,14.029279155050387,0.2679941207777386,45.74102395739208,0.338977873662607
2018-01-05,46.06999969482422,118.66999816894533,14.028012901545365,0.2686301220159525,45.906348989302,0.1636507055222154
2018-01-08,46.0,117.98999786376952,14.032239592460158,0.2693185731335268,45.80913746115844,0.19086253884155724
2018-01-09,46.22999954223633,118.08000183105467,14.035432753284717,0.2703326129150012,45.956308181281855,0.2736913609544729
2018-01-10,46.06999969482422,117.4800033569336,14.041607241563097,0.27100330395306504,45.879076299709276,0.19092339511494316
2018-01-11,46.040000915527344,116.87999725341795,14.05209008270184,0.27176181513949454,45.81561028978984,0.2243906257375059
2018-01-12,46.150001525878906,117.37999725341795,14.053748362265063,0.27226983771047325,46.012781164908965,0.13722036096994117
2018-01-16,46.529998779296875,117.86000061035156,14.050772503414418,0.2733132057503669,46.2634670999698,0.26653167932707333
2018-01-17,46.81999969482422,119.18000030517578,14.042547683794593,0.27389993475841984,46.6859419918907,0.13405770293351793
2018-01-18,46.880001068115234,119.0500030517578,14.036752427820584,0.2745529410397611,46.72228089647322,0.15772017164201202
2018-01-19,47.15999984741211,120.16999816894533,14.030489624663765,0.2749487603242805,47.07108164938634,0.08891819802576606
2018-01-22,47.380001068115234,121.51000213623048,14.034604402854413,0.2747574815663175,47.420386574922965,-0.040385506807730565
2018-01-23,47.45000076293945,121.3000030517578,14.030988151641324,0.27501650736404004,47.39049133418315,0.05950942875630005
2018-01-24,47.83000183105469,121.13999938964844,14.01940964612297,0.2763775837655986,47.499789974800095,0.3302118562545928
2018-01-25,47.84000015258789,120.9000015258789,14.015392446337415,0.27747326759294455,47.56191092171502,0.2780892308728724
2018-01-26,48.529998779296875,121.76000213623048,13.993621066720268,0.2795651129769366,48.03346982000758,0.49652895928929297
2018-01-29,47.70000076293945,119.66999816894533,14.00268453472818,0.28014190411439266,47.52726568714241,0.17273507579704273
2018-01-30,47.40999984741211,119.88999938964844,13.999311460515688,0.27970263609144114,47.532860330801626,-0.12286048338951616
2018-01-31,47.59000015258789,120.3000030517578,13.99920736516409,0.27955279609481976,47.62940958849833,-0.03940943591044288
2018-02-01,47.45000076293945,120.3000030517578,13.998983798961248,0.27908490644566003,47.57289889607369,-0.12289813313423537
2018-02-02,46.72999954223633,118.66999816894533,13.981363127437568,0.2782214510915502,46.99790221903314,-0.26790267679681534
2018-02-05,44.88999938964844,114.45999908447266,13.841880001726732,0.27698731793003,45.5458481584085,-0.655848768760066
2018-02-06,44.66999816894531,113.55999755859376,13.760655449658113,0.2760525750165694,45.109185194583254,-0.439187025637942
2018-02-07,44.560001373291016,113.5,13.711388135817582,0.2750808292075093,44.93306225086989,-0.3730608775788724
2018-02-08,43.099998474121094,110.1500015258789,13.56411893667864,0.2739995123528428,43.74516564043435,-0.6451671663132572
2018-02-09,43.130001068115234,111.18000030517578,13.48849745019024,0.27229758874542714,43.76254345000546,-0.6325423818902252
2018-02-12,43.970001220703125,111.93000030517578,13.488619047135197,0.27230509951428933,43.96772891887052,0.0022723018326047395
2018-02-13,44.189998626708984,112.13999938964844,13.491976074249019,0.27271368128284373,44.07408812685589,0.11591049985309354
2018-02-14,44.099998474121094,109.11000061035156,13.58003846110409,0.2741601276170019,43.49365015272923,0.606348321391863
2018-02-15,44.779998779296875,110.97000122070312,13.594380355937492,0.27609805310688296,44.23298164624205,0.5470171330548226
2018-02-16,44.97999954223633,111.05999755859376,13.601882912002567,0.2779513910760168,44.47116372631273,0.5088358159235966
2018-02-20,43.9900016784668,109.4800033569336,13.599613860942739,0.277860918922777,44.019828197369016,-0.02982651890221888
2018-02-21,43.34000015258789,108.0,13.577413955870847,0.2773546365182143,43.53171469983799,-0.1917145472501005
2018-02-22,43.52000045776367,109.26000213623048,13.569784327089033,0.27646155682836915,43.77597461674225,-0.25597415897858156
2018-02-23,44.040000915527344,109.68000030517578,13.570148887267946,0.27685290727639167,43.93537584183139,0.10462507369595642
2018-02-26,44.029998779296875,110.94000244140624,13.579167627454098,0.27609039511246364,44.208636735279626,-0.1786379559827509
2018-02-27,43.619998931884766,110.88999938964844,13.592677743612906,0.2744354118688215,44.02482039824444,-0.404821466359671
2018-02-28,43.220001220703125,109.7300033569336,13.58406027794259,0.27322472342586784,43.56501009666032,-0.3450088759571983
2018-03-01,43.43000030517578,108.12000274658205,13.602582456717744,0.273860150024457,43.21234262954141,0.21765767563437066
2018-03-02,43.720001220703125,109.04000091552734,13.606592620262864,0.2745043083899366,43.538542658417754,0.18145856228537127
2018-03-05,43.88999938964844,109.43000030517578,13.606468257438122,0.27515728704031356,43.716930262230974,0.17306912741746316
2018-03-06,43.93000030517578,109.58000183105467,13.605640064161342,0.2756228932232643,43.80839720824723,0.12160309692855265
2018-03-07,43.81999969482422,109.83999633789062,13.606308736007897,0.27545664537391057,43.862465655125874,-0.04246596030165506
2018-03-08,44.45000076293945,112.08000183105467,13.608474448494986,0.2753578213524216,44.47057956986962,-0.02057880693016756
2018-03-09,44.81999969482422,112.54000091552734,13.594070555568416,0.2760829229741034,44.66444295983548,0.15555673498873546
2018-03-12,44.529998779296875,112.75,13.603937653975219,0.2754820707133002,44.66454112689982,-0.13454234760294526
2018-03-13,44.56999969482422,113.5999984741211,13.623683715474124,0.2744305037513611,44.798988522881025,-0.22898882805680643
2018-03-14,43.779998779296875,112.61000061035156,13.633975753505693,0.2723624447285629,44.304710820626006,-0.5247120413291313
2018-03-15,43.66999816894531,111.98999786376952,13.630191373200596,0.2711658866340889,43.99805843807938,-0.3280602691340704
2018-03-16,43.459999084472656,111.63999938964844,13.623186474350872,0.27005718106554366,43.77237000367835,-0.3123709192056907
2018-03-19,43.2599983215332,110.36000061035156,13.615135429003491,0.2696900367388843,43.3781280481125,-0.11812972657929777
2018-03-20,43.15999984741211,109.9000015258789,13.610653717105214,0.26948182946146276,43.22670718611661,-0.06670733870450363
2018-03-21,43.0,108.73999786376952,13.616489588454547,0.26965566563156745,42.93884609318454,0.06115390681546273
2018-03-22,42.7599983215332,107.94000244140624,13.619148461419746,0.2697289124783586,42.73368793285162,0.026310388681579866
2018-03-23,42.33000183105469,106.1500015258789,13.627470605448814,0.2698609663839992,42.273212598885486,0.0567892321692014
2018-03-26,42.689998626708984,106.80999755859376,13.640707731534953,0.27037412035803005,42.519366866883075,0.17063175982590906
2018-03-27,42.88999938964844,107.63999938964844,13.642853559101875,0.2707456418114014,42.7859142784311,0.1040851112173371
2018-03-28,43.31999969482422,109.18000030517578,13.638712623312394,0.2710988665074615,43.23728695132985,0.08271274349436908
2018-03-29,43.43000030517578,109.1500015258789,13.633867274708296,0.2716809492710627,43.28784330219702,0.1421570029787631
